amount,balance,trans_type_UNKNOWN,trans_type_WITHDRAWAL,trans_operation_COLLECTION_FROM_OTHER_BANK,trans_operation_CREDIT_IN_CASH,trans_operation_REMITTANCE_TO_OTHER_BANK,trans_operation_UNKNOWN,trans_operation_WITHDRAWAL_IN_CASH,trans_k_symbol_INSURANCE_PAYMENT,trans_k_symbol_INTEREST_CREDITED,trans_k_symbol_LOAN_PAYMENT,trans_k_symbol_OLD_AGE_PENSION,trans_k_symbol_PAYMENT_ON_STATEMENT,trans_k_symbol_SANCTION_INTEREST,trans_k_symbol_UNKNOWN,cluster
7000.0,71977.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
33231.0,105867.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
25182.0,61537.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
11178.0,26157.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
4800.0,32967.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
21489.0,14682.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1000.0,57729.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
40010.0,124898.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
41608.0,92239.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1000.0,37116.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
9200.0,33746.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
37733.0,54513.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
16535.0,52292.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
30097.0,66248.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
20546.0,61464.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
4100.0,42855.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
10100.0,8980.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
3800.0,74300.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
34005.0,61668.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
4100.0,24052.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
2400.0,39214.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
13290.0,114084.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
2500.0,61258.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
30163.0,55112.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
31039.0,32294.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
26417.0,25566.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
37993.0,84321.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
3500.0,25403.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
2100.0,30243.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
42430.0,78932.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
7846.0,31164.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
32164.0,39680.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
5200.0,46338.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
17300.0,49789.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
36835.0,125174.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
10724.0,106604.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
8426.0,95880.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
30487.0,91228.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
28521.0,46794.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
11502.0,62978.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
42363.0,127987.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
45558.0,62723.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
2400.0,20379.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
11100.0,82858.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1000.0,30564.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
26569.0,55209.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
