date,amount,balance,trans_type_UNKNOWN,trans_type_WITHDRAWAL,trans_operation_COLLECTION_FROM_OTHER_BANK,trans_operation_CREDIT_IN_CASH,trans_operation_REMITTANCE_TO_OTHER_BANK,trans_operation_UNKNOWN,trans_operation_WITHDRAWAL_IN_CASH,trans_k_symbol_INSURANCE_PAYMENT,trans_k_symbol_INTEREST_CREDITED,trans_k_symbol_LOAN_PAYMENT,trans_k_symbol_OLD_AGE_PENSION,trans_k_symbol_PAYMENT_ON_STATEMENT,trans_k_symbol_SANCTION_INTEREST,trans_k_symbol_UNKNOWN,cluster
1998-01-01,7000.0,71977.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,33231.0,105867.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,25182.0,61537.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,11178.0,26157.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,4800.0,32967.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,21489.0,14682.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,1000.0,57729.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,40010.0,124898.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,41608.0,92239.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,1000.0,37116.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,9200.0,33746.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,37733.0,54513.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,16535.0,52292.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,30097.0,66248.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,20546.0,61464.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,4100.0,42855.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,10100.0,8980.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,3800.0,74300.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,34005.0,61668.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
1998-01-01,4100.0,24052.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
